disease_class_name,albutein_24_prop,albutein_48_prop,albutein_72_prop,total_prop
Behavior and Behavior Mechanisms,0.5714285714285714,0.5945945945945946,0.5135135135135135,1.6795366795366795
Mental Disorders,0.6666666666666666,0.5614973262032086,0.3496932515337423,1.5778572444036174
Nutritional and Metabolic Diseases,0.6976744186046512,0.4859154929577465,0.3853211009174312,1.5689110124798287
Cardiovascular Diseases,0.5189873417721519,0.5632183908045977,0.37755102040816324,1.4597567529849127
Wounds and Injuries,0,0.42857142857142855,1,1.4285714285714286
Nervous System Diseases,0.6090225563909775,0.4486873508353222,0.3523809523809524,1.4100908596072521
"Pathological Conditions, Signs and Symptoms",0.49382716049382713,0.4727272727272727,0.42105263157894735,1.3876070648000471
Chemically-Induced Disorders,0.5352112676056338,0.43037974683544306,0.3968253968253968,1.3624164112664736
Eye Diseases,0.75,0.25,0.2857142857142857,1.2857142857142856
Endocrine System Diseases,0.5,0.47191011235955055,0.3111111111111111,1.2830212234706617
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",0.5972222222222222,0.28444444444444444,0.28440366972477066,1.1660703363914373
Male Urogenital Diseases,0.32786885245901637,0.3125,0.265625,0.9059938524590163
Female Urogenital Diseases and Pregnancy Complications,0.35526315789473684,0.34782608695652173,0.1951219512195122,0.8982111960707708
Otorhinolaryngologic Diseases,0.35294117647058826,0.25,0.2857142857142857,0.888655462184874
Digestive System Diseases,0.3582089552238806,0.25196850393700787,0.25316455696202533,0.8633420161229137
Hemic and Lymphatic Diseases,0.5348837209302325,0.12162162162162163,0.1643835616438356,0.8208889041956897
Stomatognathic Diseases,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.8205128205128205
Skin and Connective Tissue Diseases,0.2894736842105263,0.2857142857142857,0.1956521739130435,0.7708401438378555
Neoplasms,0.2976190476190476,0.2602739726027397,0.19909502262443438,0.7569880428462217
Respiratory Tract Diseases,0.29411764705882354,0.21311475409836064,0.19230769230769232,0.6995400934648764
Immune System Diseases,0.49230769230769234,0.1590909090909091,0.047619047619047616,0.699017649017649
Musculoskeletal Diseases,0.13043478260869565,0.25203252032520324,0.3018867924528302,0.6843540953867291
Animal Diseases,0.3333333333333333,0.3333333333333333,0,0.6666666666666666
Infections,0.36363636363636365,0.1702127659574468,0,0.5338491295938105
Occupational Diseases,0,0,NA,NA
